peak_name,height_metres,climbed,first_ascent_year,first_ascent_country,first_ascent_expedition_id
Thorong Peak,6144,TRUE,2007,"Japan, Nepal",THOR07301
Chamar Kang,6060,TRUE,2007,"Japan, Nepal",CHKA07301
Nupche Kang,6576,TRUE,1964,"W Germany, Nepal",NUPK64101
Punchen Himal,6049,FALSE,NA,NA,NA
Kang Kuru,6344,TRUE,2008,USA,KAKU08101
Amphu Middle,6202,TRUE,2008,Germany,AMPM08101
Lugula,6899,TRUE,2010,France,LUGU10301
Bhrikuti Shail,6361,TRUE,2005,"France, Nepal",BHRS05101
Myagdi Matha,6273,FALSE,NA,NA,NA
Tobsar,6065,TRUE,2017,Nepal,TOBS17301
Dingjung Ri,6196,TRUE,2008,Japan,DINS08101
Dudh Kundali,6045,TRUE,1953,"Austria, Nepal, India",DUDH53301
Kanta Gaton,5910,TRUE,2009,"France, Nepal",KAGA09201
Kaptang,5965,TRUE,2009,"Japan, Nepal",KAPT09201
Roma,5407,FALSE,NA,NA,NA
Ripimo Shar,6647,TRUE,1952,UK,RIPI52101
Tsisima,6196,TRUE,1963,"Japan, Nepal",TSIS63101
Tawa,6110,TRUE,2010,"Japan, Nepal",TAWA10301
Urkema,5890,TRUE,2007,"Taiwan, S Korea, Singapore, Australia, Nepal",URMA07301
Manapathi NW,6384,TRUE,1977,"Italy, UK, W Germany",MPNW77101
Lunag Ri,6895,FALSE,NA,NA,NA
Jasemba Goth,6730,TRUE,1964,W Germany,JASG64101
Gojung,6310,TRUE,2011,UK,GOJN11301
Nangamari II,6209,TRUE,2016,Japan,NAN216301
Dragmorpa Ri,6185,TRUE,2013,Russia,DRAG13101
Syaokang,5929,TRUE,2012,New Zealand,SYKG12301
Bijora Hiunchuli,6111,FALSE,NA,NA,NA
Chhuboche,5606,TRUE,2013,UK,CHUB13301
Lunag West,6492,TRUE,2013,USA,LUNW13301
Domo,7447,TRUE,1930,"Germany, Nepal",DOMO30101
Lunag II,6812,TRUE,2010,France,LUN210301
Triangle Peak,6484,TRUE,2013,France,TRIA13301
Kasi Dalpha,6386,FALSE,NA,NA,NA
Narphu,5921,TRUE,2014,"UK, Nepal",NPHU14301
Pota Himal North,6182,TRUE,2008,France,POTA08101
Pangbuk North,6478,TRUE,2013,USA,PANN13301
Mustang Himal,6195,TRUE,2014,USA,MUST14301
Mansail,6235,TRUE,2014,Japan,MNSL14301
Chhochenphu Himal,6260,FALSE,NA,NA,NA
Tankya I,6305,FALSE,NA,NA,NA
Gorakh Khang,6254,FALSE,NA,NA,NA
Raungsiyar,6224,TRUE,2015,Nepal,RAUN15301
Langdak,6220,TRUE,2015,Nepal,LDAK15301
Takargo East,6152,TRUE,2015,Nepal,TKRE15301
Omitso Go,6332,FALSE,NA,NA,NA
Chhopa Bamare,6109,TRUE,2019,"USA, France",CBAM18401
Yalung Kang West,8077,FALSE,NA,NA,NA
Kangchenjunga North,7938,FALSE,NA,NA,NA
Kangbachen East,7780,FALSE,NA,NA,NA
Herzog Peak,7555,TRUE,NA,NA,NA
Gangapurna West,7140,FALSE,NA,NA,NA
Chamar,7161,FALSE,NA,NA,NA
Nepal Gap Peak,7007,FALSE,NA,NA,NA
Gaurishankar South,7010,TRUE,1979,UK,GAUS79301
Burke Kang,6942,TRUE,2017,"Ireland, Nepal",BURK17301
Himlung East,6932,TRUE,2017,"France, Nepal",HMLE17101
Yangra Kangri South,6863,FALSE,NA,NA,NA
Nup La Kang,6861,TRUE,2018,"USA, Norway",NUPL18301
Chumbu,6859,FALSE,NA,NA,NA
Phu Kang Go,6767,TRUE,2011,"France, Belgium",PHUG11301
Guras,6744,FALSE,NA,NA,NA
Tharke Kang,6710,TRUE,2017,"USA, Nepal",THRK17301
Hulang Go,6687,FALSE,NA,NA,NA
Shershon Northwest,6682,TRUE,1980,"UK, France",SHNW80301
Agole East,6675,FALSE,NA,NA,NA
Rolwaling Kang,6664,TRUE,2016,Japan,ROLK16301
Yarwa,6644,FALSE,NA,NA,NA
Yangri,6535,FALSE,NA,NA,NA
Lachama North,6628,FALSE,NA,NA,NA
Changdi,6623,FALSE,NA,NA,NA
Goldum Peak,6632,FALSE,NA,NA,NA
Thoche Go,6602,FALSE,NA,NA,NA
